installation,branch,state,joint_base,latitude,longitude,url
U.S. Southern Command (SOUTHCOM),"Air Force, Army, Marine Corps, Navy",FL,,+25.8061691,-80.3483124,https://installations.militaryonesource.mil/military-installation/u.s.-southern-command-(southcom)/child-and-youth-services/child-and-youth-programs
Fort Eisenhower,Army,GA,,+33.3546372,-82.2347286,https://installations.militaryonesource.mil/military-installation/fort-eisenhower/child-and-youth-services/child-and-youth-programs
Fort Moore,Army,GA,,+32.3933497,-84.8062867,https://installations.militaryonesource.mil/military-installation/fort-moore/child-and-youth-services/child-and-youth-programs
Fort Stewart,Army,GA,,+31.9868975,-81.6265693,https://installations.militaryonesource.mil/military-installation/fort-stewart/child-and-youth-services/child-and-youth-programs
Hunter Army Airfield,Army,GA,,+32.0099679,-81.1536204,https://installations.militaryonesource.mil/military-installation/hunter-army-airfield/child-and-youth-services/child-and-youth-programs
Marine Corps Logistics Base Albany,Marine Corps,GA,,+31.5496795,-84.0555073,https://installations.militaryonesource.mil/military-installation/marine-corps-logistics-base-albany/child-and-youth-services/child-and-youth-programs
Moody AFB,Air Force,GA,,+30.9717204,-83.1830808,https://installations.militaryonesource.mil/military-installation/moody-afb/child-and-youth-services/child-and-youth-programs
Naval Submarine Base Kings Bay,Navy,GA,,+30.7932809,-81.5324967,https://installations.militaryonesource.mil/military-installation/naval-submarine-base-kings-bay/child-and-youth-services/child-and-youth-programs
Robins AFB,Air Force,GA,,+32.6190657,-83.5811330,https://installations.militaryonesource.mil/military-installation/robins-afb/child-and-youth-services/child-and-youth-programs
Joint Base Pearl Harbor-Hickam,"Air Force, Army, Navy",HI,Joint Base Pearl Harbor-Hickam,+21.3388739,-157.9493244,https://installations.militaryonesource.mil/military-installation/joint-base-pearl-harbor-hickam/child-and-youth-services/child-and-youth-programs
Marine Corps Base Camp Smith,Marine Corps,HI,,+21.3866458,-157.9056495,https://installations.militaryonesource.mil/military-installation/marine-corps-base-camp-smith/child-and-youth-services/child-and-youth-programs
Marine Corps Base Hawaii,Marine Corps,HI,,+21.4453279,-157.7512719,https://installations.militaryonesource.mil/military-installation/marine-corps-base-hawaii/child-and-youth-services/child-and-youth-programs
Schofield Barracks,Army,HI,,+21.4993768,-158.0824984,https://installations.militaryonesource.mil/military-installation/schofield-barracks/child-and-youth-services/child-and-youth-programs
Tripler Army Medical Center,Army,HI,,+21.3620086,-157.8896492,https://installations.militaryonesource.mil/military-installation/tripler-army-medical-center/child-and-youth-services/child-and-youth-programs
Mountain Home AFB,Air Force,ID,,+43.0491862,-115.8658595,https://installations.militaryonesource.mil/military-installation/mountain-home-afb/child-and-youth-services/child-and-youth-programs
Naval Station Great Lakes,Navy,IL,,+42.3120686,-87.8371453,https://installations.militaryonesource.mil/military-installation/naval-station-great-lakes/child-and-youth-services/child-and-youth-programs
Rock Island Arsenal,Army,IL,,+41.5128438,-90.5439433,https://installations.militaryonesource.mil/military-installation/rock-island-arsenal/child-and-youth-services/child-and-youth-programs
Scott Air Force Base,Air Force,IL,,+38.5429744,-89.8521267,https://installations.militaryonesource.mil/military-installation/scott-air-force-base/child-and-youth-services/child-and-youth-programs
Naval Surface Warfare Center Crane,Navy,IN,,+38.8415469,-86.8099523,https://installations.militaryonesource.mil/military-installation/naval-surface-warfare-center-crane/child-and-youth-services/child-and-youth-programs
Fort Leavenworth,Army,KS,,+39.3640892,-94.9178816,https://installations.militaryonesource.mil/military-installation/fort-leavenworth/child-and-youth-services/child-and-youth-programs
Fort Riley,Army,KS,,+39.1824065,-96.8211286,https://installations.militaryonesource.mil/military-installation/fort-riley/child-and-youth-services/child-and-youth-programs
McConnell AFB,Air Force,KS,,+37.6344367,-97.2584918,https://installations.militaryonesource.mil/military-installation/mcconnell-afb/child-and-youth-services/child-and-youth-programs
Fort Campbell,Army,KY,,+36.6205219,-87.6239910,https://installations.militaryonesource.mil/military-installation/fort-campbell/child-and-youth-services/child-and-youth-programs
Fort Knox,Army,KY,,+37.9058675,-85.8884215,https://installations.militaryonesource.mil/military-installation/fort-knox/child-and-youth-services/child-and-youth-programs
Barksdale Air Force Base,Air Force,LA,,+32.5048693,-93.5961455,https://installations.militaryonesource.mil/military-installation/barksdale-air-force-base/child-and-youth-services/child-and-youth-programs
Fort Johnson,Army,LA,,+31.0646000,-93.0438068,https://installations.militaryonesource.mil/military-installation/fort-johnson/child-and-youth-services/child-and-youth-programs
Naval Air Station Joint Reserve Base New Orleans,Navy,LA,Naval Air Station Joint Reserve Base New Orleans,+29.8273882,-90.0249872,https://installations.militaryonesource.mil/military-installation/naval-air-station-joint-reserve-base-new-orleans/child-and-youth-services/child-and-youth-programs
Hanscom AFB,Air Force,MA,,+42.4589481,-71.2771043,https://installations.militaryonesource.mil/military-installation/hanscom-afb/child-and-youth-services/child-and-youth-programs
Natick Soldier Systems Center (NSSC),Army,MA,,+42.2894683,-71.3633101,https://installations.militaryonesource.mil/military-installation/natick-soldier-systems-center-(nssc)/child-and-youth-services/child-and-youth-programs
Westover ARB,Air Force,MA,,+42.1990453,-72.5365327,https://installations.militaryonesource.mil/military-installation/westover-arb/child-and-youth-services/child-and-youth-programs
Aberdeen Proving Ground,Army,MD,,+39.3927613,-76.2228277,https://installations.militaryonesource.mil/military-installation/aberdeen-proving-ground/child-and-youth-services/child-and-youth-programs
Forest Glen Annex,Army,MD,,+39.0064220,-77.0549624,https://installations.militaryonesource.mil/military-installation/forest-glen-annex/child-and-youth-services/child-and-youth-programs
Fort Detrick,Army,MD,,+39.4395534,-77.4337661,https://installations.militaryonesource.mil/military-installation/fort-detrick/child-and-youth-services/child-and-youth-programs
Fort George G Meade,Army,MD,,+39.1056998,-76.7432784,https://installations.militaryonesource.mil/military-installation/fort-george-g-meade/child-and-youth-services/child-and-youth-programs
Joint Base Andrews - Naval Air Facility Washington,Air Force,MD,Joint Base Andrews - Naval Air Facility Washington,+38.8098033,-76.8691578,https://installations.militaryonesource.mil/military-installation/joint-base-andrews---naval-air-facility-washington/child-and-youth-services/child-and-youth-programs
Naval Air Station Patuxent River,Navy,MD,,+38.2848482,-76.4076612,https://installations.militaryonesource.mil/military-installation/naval-air-station-patuxent-river/child-and-youth-services/child-and-youth-programs
Naval Support Activity Annapolis - U.S. Naval Academy,Navy,MD,,+38.9813789,-76.4830923,https://installations.militaryonesource.mil/military-installation/naval-support-activity-annapolis---u.s.-naval-academy/child-and-youth-services/child-and-youth-programs
Naval Support Activity Bethesda,Navy,MD,,+39.0037557,-77.0869642,https://installations.militaryonesource.mil/military-installation/naval-support-activity-bethesda/child-and-youth-services/child-and-youth-programs
Naval Support Activity Indian Head,Navy,MD,,+38.5840772,-77.1834612,https://installations.militaryonesource.mil/military-installation/naval-support-activity-indian-head/child-and-youth-services/child-and-youth-programs
Portsmouth Naval Shipyard,Navy,ME,,+43.0800979,-70.7343226,https://installations.militaryonesource.mil/military-installation/portsmouth-naval-shipyard/child-and-youth-services/child-and-youth-programs
Fort Leonard Wood,Army,MO,,+37.7098928,-92.1479114,https://installations.militaryonesource.mil/military-installation/fort-leonard-wood/child-and-youth-services/child-and-youth-programs
